well	med.c.m.m.ss	med.c.m.m.ec	med.n.h.m.int	type
001-01-C03	2452.15677090977	0.614523602439812	241.443728676461	rluc
001-01-D03	2329.00693740056	0.605628258336164	239.428247510581	rluc
001-01-M04	2270.42205417294	0.613726749006766	233.083530191301	rluc
001-01-N04	2372.56879862843	0.593812271591972	236.088864921145	rluc
001-02-C03	2399.286028692	0.60868065340682	222.610324491383	rluc
001-02-D03	2327.90024160755	0.597149886305381	233.707195026114	rluc
001-02-M04	2454.79293949887	0.59119946953491	243.906504253484	rluc
001-02-N04	2503.88532840015	0.597921587894165	255.153961588775	rluc
002-01-C03	2514.99547013428	0.613042654611925	253.837786110002	rluc
002-01-D03	2549.61560980494	0.606254496654759	250.116672743294	rluc
002-01-M04	2650.01920848321	0.614307439684831	252.730853681292	rluc
002-01-N04	2464.69242250526	0.60785266232757	241.687083327631	rluc
002-02-C03	2314.42522029177	0.594847272699666	237.413008010449	rluc
002-02-D03	2298.96560877892	0.599484998890197	240.580660155660	rluc
002-02-M04	2400.00934682553	0.56885247567959	236.326490363985	rluc
002-02-N04	2351.86472967876	0.58352318544263	233.785512962983	rluc
003-01-C03	2384.97060694349	0.599033837023107	244.203023676458	rluc
003-01-D03	2269.09241262569	0.621647580701498	235.526940108859	rluc
003-01-M04	2396.95294456934	0.607069155660463	232.000650868429	rluc
003-01-N04	2528.79289909967	0.622649500228266	239.095578245967	rluc
003-02-C03	2283.07590601705	0.590363986757778	239.741257145885	rluc
003-02-D03	2318.75970482532	0.589647150836233	233.686502816391	rluc
003-02-M04	2483.43729636897	0.597511941545559	253.072705733488	rluc
003-02-N04	2404.65201478222	0.611900554638356	239.226409912881	rluc
001-01-A03	1042.92846231686	0.471152572619073	234.391607991357	ubc
001-01-B03	1120.03063131150	0.459124409533359	263.143906639793	ubc
001-01-O04	1024.998815014	0.461697684918126	236.038738561987	ubc
001-01-P04	1000.43959198935	0.446286333000886	233.484226394789	ubc
001-02-A03	1272.50843411250	0.49219070987253	277.384192630760	ubc
001-02-B03	1271.20992749179	0.486100165593376	300.21030183645	ubc
001-02-O04	920.895167696276	0.430460696867291	222.819395643939	ubc
001-02-P04	1118.33512214494	0.49142956013559	223.463264641493	ubc
002-01-A03	1472.72659935603	0.536337013637908	291.416866544440	ubc
002-01-B03	1419.55346333656	0.541740164743241	278.59993813136	ubc
002-01-O04	946.211067536855	0.445869794021108	221.569932718101	ubc
002-01-P04	1000.78318565285	0.428296877809986	219.033665787375	ubc
002-02-A03	1227.47815144762	0.467772258647235	258.254627244030	ubc
002-02-B03	1336.34929515905	0.605305193230621	280.969610020407	ubc
002-02-O04	998.087798619777	0.475441219833144	242.007158858931	ubc
002-02-P04	1103.23120496747	0.447619461762204	251.156859172302	ubc
003-01-A03	1443.1669445937	0.498551209526221	309.440267998424	ubc
003-01-B03	1628.45641403737	0.490891898616405	324.203229939418	ubc
003-01-O04	917.7256096897	0.443398271028482	233.548588020498	ubc
003-01-P04	986.820023243838	0.456652110128575	220.511280812899	ubc
003-02-A03	1476.32457785835	0.517867038238479	303.789809381238	ubc
003-02-B03	1217.46398336785	0.485981067963371	291.663773175362	ubc
003-02-O04	1017.01032182101	0.45224629693484	239.754063338723	ubc
003-02-P04	934.911689310933	0.445511865686593	221.206454820455	ubc
001-01-G04	3557.27522460756	0.660848557481065	307.927068892772	clspn
001-01-H04	4275.37012879394	0.645983245681039	349.85130090199	clspn
001-01-I03	4046.69707185055	0.66569536517956	339.33879727377	clspn
001-01-J03	4113.8971767845	0.655931376266554	338.096366563126	clspn
001-02-G04	4094.29846250365	0.654269978404697	344.312752428980	clspn
001-02-H04	4201.01326579854	0.665141336990785	359.565844345003	clspn
001-02-I03	3947.93437364441	0.61325663745468	340.603498369906	clspn
001-02-J03	3817.52405852159	0.647664786560675	350.718343536326	clspn
002-01-G04	3851.40570408893	0.666283398729477	336.414759354041	clspn
002-01-H04	4007.31157653701	0.664448723368355	353.105340529279	clspn
002-01-I03	4138.7042122837	0.650824356427272	355.897376847400	clspn
002-01-J03	4233.63882638692	0.662406921418535	348.872616179880	clspn
002-02-G04	3773.06184716147	0.647553026988063	329.309175779497	clspn
002-02-H04	4643.27883225157	0.666439315113136	357.839977381331	clspn
