feature	spearman.correlation
int	0.909461575320075
ext	0.941004303492501
ecc	0.880884540117417
Nint	0.881184808358
Next	0.915201905896367
Necc	0.872387323281402
NtoATsz	0.930734423909685
NtoATint	0.852016264604334
AI1	0.878431164271608
Az.0101	0.811087283425956
Az.0202	0.914255119633509
Az.0301	0.907659482237458
Az.0303	0.924605104183926
Az.0404	0.914536418473223
At.asm	0.732026152337365
At.con	0.76987750495954
At.cor	0.785528568293873
At.var	0.876873291029838
At.idm	0.750459734804552
At.sav	0.780688558800217
At.sva	0.835128930127582
At.sen	0.784602685988348
At.ent	0.770170214099872
At.dva	0.769831344292835
At.den	0.773864679566695
At.f12	0.728486469300112
AinNint	0.899733389459354
AtoTint	0.771139283587169
TI1	0.846306564505367
Tz.0101	0.695585897441639
Tz.0202	0.91755574164715
Tz.0301	0.926277134169551
Tz.0303	0.925430210427797
Tz.0404	0.919846149023542
Tt.asm	0.802441428168396
Tt.con	0.651144227453685
Tt.cor	0.767798161275733
Tt.var	0.781424747097046
Tt.idm	0.714323688912573
Tt.sav	0.733753370919855
Tt.sva	0.735187916187133
Tt.sen	0.776922568481955
Tt.ent	0.762982781551855
Tt.dva	0.651144227453685
Tt.den	0.689141567438549
Tt.f12	0.642447285575463
TinNint	0.884481847859673
Nz.0303	0.920995383037701
Nt.ent	0.76875728929232
Nt.den	0.807337306936191
