well	med.cell.size.rep1	med.cell.size.rep2	type
001-01-A02	911.241137146869	962.06071056758	sample
001-01-A03	394.955157327093	481.896685107694	ubc
001-01-A04	926.600297526287	970.648747211432	sample
001-01-A05	1109.39084661900	1096.80467048120	sample
001-01-A06	1002.73282970676	896.021730700807	sample
001-01-A07	963.051848477182	984.053458713996	sample
001-01-A08	888.51450772534	895.429433545239	sample
001-01-A09	980.66033195566	895.308161530537	sample
001-01-A10	837.45484829707	743.222299845072	sample
001-01-A11	854.597062112701	793.472956538141	sample
001-01-A12	784.060303752766	878.585691345979	sample
001-01-A13	758.725991527426	481.34814608111	sample
001-01-A14	838.608691229889	871.004712207217	sample
001-01-A15	988.893420448401	962.375470094193	sample
001-01-A16	1001.05186230454	970.608629909933	sample
001-01-A17	898.751520397808	868.508109786771	sample
001-01-A18	1057.02978545219	1021.28531841229	sample
001-01-A19	968.581027159057	948.585539617843	sample
001-01-A20	932.167284871432	842.457125169328	sample
001-01-A21	901.04564299366	914.816228482706	sample
001-01-A22	899.37909149285	976.174407395329	sample
001-01-A23	710.039881254033	759.543916658192	sample
001-01-A24	756.629545491098	766.166327289182	sample
001-01-B02	1027.49944937003	961.500171498984	sample
001-01-B03	424.153611857609	481.40494295547	ubc
001-01-B04	949.06378220305	903.979158481242	sample
001-01-B05	1093.05286294527	1107.4293126965	sample
001-01-B06	1165.94279607142	1116.42642385294	sample
001-01-B07	856.2592119879	894.951042192827	sample
001-01-B08	834.726122754268	871.631987327731	sample
001-01-B09	1017.41972947096	1044.5340551255	sample
001-01-B10	1120.02405085798	1193.72644834399	sample
001-01-B11	333.126595884164	323.9001390712	sample
001-01-B12	532.273971609031	551.306691245614	sample
001-01-B13	1070.86215465309	1103.50058969935	sample
001-01-B14	672.486085197497	649.027355704125	sample
001-01-B15	620.860258177022	591.350535430009	sample
001-01-B16	1226.58560700822	1277.11017159027	sample
001-01-B17	1104.03169913468	1190.56649657078	sample
001-01-B18	1034.58590027668	1006.90625202545	sample
001-01-B19	988.722727303116	950.249053502533	sample
001-01-B20	1022.14607534450	1041.20803037993	sample
001-01-B21	956.24851034959	952.449836467395	sample
001-01-B22	808.633983065018	806.515736884897	sample
001-01-B23	1005.87574927681	938.803821263317	sample
001-01-B24	980.556020711917	938.497086411149	sample
001-01-C02	1008.87823751357	927.023791626441	sample
001-01-C03	928.627416202518	908.605359978035	rluc
001-01-C04	1233.14298801750	1110.31525887346	sample
001-01-C05	843.222361790585	795.295127050015	sample
001-01-C06	796.973763177904	756.976958505851	sample
001-01-C07	774.435502384627	729.726693904302	sample
001-01-C08	890.960293710986	911.04489687783	sample
001-01-C09	1110.68190332736	1136.25400082812	sample
001-01-C10	983.658838970549	1138.93733742705	sample
001-01-C11	759.150125774704	768.152048814732	sample
001-01-C12	924.81599108306	872.468424232145	sample
001-01-C13	1422.08871771193	1249.26322489032	sample
001-01-C14	901.607895067473	870.61398541963	sample
001-01-C15	1042.91243439503	974.106512109983	sample
001-01-C16	1146.88520315916	1068.61987606107	sample
001-01-C17	928.91134125942	938.587909629518	sample
001-01-C18	1063.61468857200	1067.62486465554	sample
001-01-C19	888.918331017104	915.861693154461	sample
001-01-C20	838.68477349235	836.292057168146	sample
001-01-C21	1123.54487532768	998.645322544864	sample
001-01-C22	1074.58067422576	1001.87033638613	sample
001-01-C23	911.0337406182	899.697439007272	sample
001-01-C24	831.366457591681	855.306520376	sample
001-01-D02	1022.00616430113	988.50644244304	sample
001-01-D03	881.99079286175	881.571689129487	rluc
001-01-D04	1057.63988711351	1100.95378023939	sample
001-01-D05	1200.04058299579	1207.63735834915	sample
001-01-D06	1141.42668293762	1157.20449908842	sample
001-01-D07	763.925798663677	807.526699631679	sample
001-01-D08	1059.04503536033	1091.99038434421	sample
001-01-D09	1064.07877260813	993.621832498245	sample
001-01-D10	873.503886926214	843.992366668618	sample
001-01-D11	841.692714333197	889.082202146447	sample
001-01-D12	776.596236267218	686.873386345027	sample
001-01-D13	994.844263188677	948.791993010228	sample
001-01-D14	965.265994931156	903.218211068219	sample
001-01-D15	898.799377409996	855.63071825492	sample
001-01-D16	758.486914514161	727.520616166694	sample
001-01-D17	919.931491193837	881.382771856985	sample
001-01-D18	1000.53995899868	1056.69966753830	sample
001-01-D19	1114.50347654653	1139.58496323750	sample
001-01-D20	939.995781240183	1032.48447703993	sample
001-01-D21	812.59399346036	842.431776714594	sample
001-01-D22	1115.69792930629	1121.04000036568	sample
001-01-D23	945.204148614478	885.808716464638	sample
001-01-D24	963.574244397808	970.108124872163	sample
001-01-E02	1017.20803656258	949.172550896364	sample
001-01-E03	1012.53464405378	921.243221487482	sample
001-01-E04	612.636450266187	578.543515988817	sample
001-01-E05	813.92623922775	725.682277833801	sample
001-01-E06	948.79585948131	1005.73535620024	sample
001-01-E07	1114.18366650188	1098.9462608145	sample
001-01-E08	785.072180687191	781.90295779374	sample
001-01-E09	1037.11668475502	1055.29933413871	sample
