hgnc	go	term
CHEK1	GO:0006974	response to DNA damage stimulus
RPA1	GO:0006974	response to DNA damage stimulus
RPA3	GO:0006974	response to DNA damage stimulus
RPA2	GO:0006974	response to DNA damage stimulus
RAD51	GO:0006974	response to DNA damage stimulus
POLE	GO:0006974	response to DNA damage stimulus
PRDM8	GO:0006974	response to DNA damage stimulus
CLSPN	GO:0006974	response to DNA damage stimulus
RUVBL2	GO:0006974	response to DNA damage stimulus
USP1	GO:0006974	response to DNA damage stimulus
HIPK2	GO:0006974	response to DNA damage stimulus
KIF23	GO:0007049	cell cycle
NDC80	GO:0007049	cell cycle
CDKN2A	GO:0007049	cell cycle
CDCA5	GO:0007049	cell cycle
CENPE	GO:0007049	cell cycle
CDCA8	GO:0007049	cell cycle
MYH9	GO:0007049	cell cycle
PLK1	GO:0007049	cell cycle
CGRRF1	GO:0007049	cell cycle
SESN3	GO:0007049	cell cycle
KIF11	GO:0007049	cell cycle
C13orf3	GO:0007049	cell cycle
WEE1	GO:0007049	cell cycle
TPX2	GO:0007049	cell cycle
CKAP5	GO:0007049	cell cycle
ANLN	GO:0007049	cell cycle
KIF15	GO:0007049	cell cycle
MC1R	GO:0007049	cell cycle
ANAPC7	GO:0007049	cell cycle
SETD8	GO:0007049	cell cycle
NUF2	GO:0007049	cell cycle
TUBE1	GO:0007049	cell cycle
RPL24	GO:0007049	cell cycle
FOSL1	GO:0007049	cell cycle
PSMD3	GO:0007049	cell cycle
PSMD8	GO:0007049	cell cycle
PSMD1	GO:0007049	cell cycle
CEP192	GO:0005856	cytoskeleton
KEAP1	GO:0005856	cytoskeleton
PDE4DIP	GO:0005856	cytoskeleton
PAX2	GO:0005856	cytoskeleton
DYNC1I2	GO:0005856	cytoskeleton
SHROOM2	GO:0005856	cytoskeleton
MID1IP1	GO:0005856	cytoskeleton
KIF13A	GO:0005856	cytoskeleton
KIF20A	GO:0005856	cytoskeleton
KIF12	GO:0005856	cytoskeleton
SPTA1	GO:0005856	cytoskeleton
APBB1IP	GO:0005856	cytoskeleton
TLN1	GO:0005856	cytoskeleton
RAPH1	GO:0005856	cytoskeleton
TMOD1	GO:0005856	cytoskeleton
CFL1	GO:0005856	cytoskeleton
BCL2L1	GO:0008219	cell death
ATP7A	GO:0008219	cell death
TNFRSF1A	GO:0008219	cell death
MAGEH1	GO:0008219	cell death
ELMO2	GO:0008219	cell death
NGFR	GO:0008219	cell death
HTRA2	GO:0008219	cell death
CADM1	GO:0008219	cell death
JMJD6	GO:0008219	cell death
PEG3	GO:0008219	cell death
SON	GO:0008219	cell death
HDAC1	GO:0008219	cell death
NOS3	GO:0008219	cell death
RPS3A	GO:0008219	cell death
TRAIP	GO:0008219	cell death
CASP8AP2	GO:0008219	cell death
GZMM	GO:0008219	cell death
NCR1	GO:0008219	cell death
MAGED1	GO:0008219	cell death
CLN8	GO:0008219	cell death
GIMAP5	GO:0008219	cell death
POP1	GO:0030529	ribonucleoprotein complex
CRNKL1	GO:0030529	ribonucleoprotein complex
NHP2L1	GO:0030529	ribonucleoprotein complex
SF3A3	GO:0030529	ribonucleoprotein complex
EIF4A3	GO:0030529	ribonucleoprotein complex
RBM8A	GO:0030529	ribonucleoprotein complex
SF3B4	GO:0030529	ribonucleoprotein complex
SF3B1	GO:0030529	ribonucleoprotein complex
RPL10L	GO:0030529	ribonucleoprotein complex
RPS29	GO:0030529	ribonucleoprotein complex
RPS13	GO:0030529	ribonucleoprotein complex
RPS28	GO:0030529	ribonucleoprotein complex
RPL30	GO:0030529	ribonucleoprotein complex
RPL4	GO:0030529	ribonucleoprotein complex
RPL34	GO:0030529	ribonucleoprotein complex
