24h Deb	36h Deb	48h Deb	24h G1	36h G1	48h G1	24h S	36h S	48h S	24h G2/M	36h G2/M	48h G2/M
PLK1 (M-003290-01)	0.213736881559220	0.492569995773733	0.688187994496044	-1	-1	-1	-0.767285967871159	-0.325660253074873	-0.779000526828351	1	0.192536900454069	-0.500659567878319
PLK1 (M-003290-01)	0.110352971681097	0.531188425476703	0.659109998859852	-1	-1	-1	-0.674868646138807	-0.638169773838858	-0.722454337857048	1	0.0920963851365703	-0.484088973925884
PLK1 (M-003290-01)	0.164330320293546	0.356043956043956	0.730122655122655	-1	-1	-1	-0.63404111377532	-0.855573936219097	-0.909045443178977	1	1	-0.524035948832639
PLK1 (M-003290-01)	0.29212346685885	0.439736346516008	0.710364952718676	-1	-1	-1	-0.869046821611116	-0.683954281548595	-1	1	0.687265448495562	-0.52520352755501
KIF11 (GS3832)	0.0448463393463054	0.110047371805076	0.505638299066422	-0.247311346812459	-0.884249948373308	-1	-0.246142974612453	0.210121767689759	-0.927109454142686	0.438299945941941	1	0.163774765838423
FBXO5 (GS26271)	0.0790567350757768	0.217933177489763	0.202923372071876	-0.307022380568853	-1	-1	0.173494494188266	-0.536869060713045	-0.81972727406947	0.207411582043927	1	1
KIF23 (GS9493)	0.00322060206705701	0.126766278608108	0.439047080278315	-0.322702204430438	-0.936449033471107	-1	-0.185781141187764	-0.578072547684189	-0.772136924872162	0.786940859964015	1	0.399138642434014
CDCA5 (GS113130)	0.159080590402037	0.200480200658064	0.530294016006535	-0.596345296643795	-1	-1	-0.164016868788470	-0.39747475811447	-0.458679766192815	0.494268064311117	1	-0.246007055959610
NHP2L1 (GS4809)	0.0201018292713631	0.0746643484980199	0.343317636926038	-0.346258916764664	-0.604238721143906	-1	0.0486975371925622	-0.244473144590922	-0.519683847527267	0.650229601524037	0.992457380453746	0.65619499011084
CDCA8 (GS55143)	0.031786562553432	0.0620937633250777	0.172506415233474	-0.0505813677609533	-0.377787994463276	-0.540933232559326	-0.387463373310298	-0.061452806611793	-0.17115085053942	0.171020290213393	0.533390912823193	0.314693129741562
ANLN (GS54443)	0.00875565433873273	0.0602650333500302	0.094689849015663	-0.0220456731637611	-0.354610364872865	-0.378742873814473	-0.28672745475525	-0.216357816748909	-0.178128028191287	0.196486044075386	0.558750884230804	0.408124969807596
CLSPN (GS63967)	0.0622683434918641	0.00747060915404567	0.158606382400284	-0.373141388603761	-0.649621508039451	-1	0.51019166043968	0.983741317182843	-0.167846688781238	0.294508820060713	0.950303779369859	1
RPA2 (GS6118)	0.0412588793928489	0.0554962480651457	-0.00925114222016716	-0.0500499781445744	-0.265139774710786	-0.68053180783358	-0.0410818504626649	0.170417205913777	0.437998027719394	-0.0191141213019752	0.250533216360954	1
RPA1 (GS6117)	0.0162225185561482	0.0138357203022346	0.197099269129196	0.0826632992225908	-0.222085172675067	-0.790753474229922	-0.237755058843451	0.639561135996522	0.549691524353134	-0.0723441348882538	0.198955921658613	0.394834775681883
DONSON (GS29980)	0.0513045605085136	0.00666283194324608	0.153751244288043	0.279937429383997	0.0611932121773909	-0.667465383266914	-0.328580478458915	0.909946070888485	0.883142274233454	-0.617666451110829	-0.437499417421817	0.246067759623224
CASP8AP2 (GS9994)	0.0285112549580921	0.107609284721454	0.102877212382421	-0.0146092103443496	-0.207324218866625	-0.163860902303789	-0.173653153580504	0.0449483944177812	-0.404001311588654	0.0310201946634137	-0.092846566229277	0.0250444021891302
