Treatment	Timepoint (h)	Experiment ID	Number of bipolar spindles	Number of multipolar spindles	Percentage of multipolar spindles
RLuc	42	1	196	13	0.062200957
RLuc	42	2	262	10	0.036764706
RLuc	42	3	209	11	0.05
RLuc	48	1	216	8	0.035714286
RLuc	48	2	143	5	0.033783784
RLuc	48	3	198	9	0.043478261
RLuc	54	1	307	12	0.037617555
RLuc	54	2	396	15	0.03649635
RLuc	54	3	250	6	0.0234375
RLuc	60	1	414	14	0.03271028
RLuc	60	2	343	11	0.031073446
RLuc	60	3	326	10	0.029761905
RLuc	64	1	328	10	0.029585799
RLuc	64	2	387	8	0.020253165
RLuc	64	3	360	19	0.050131926
RLuc	68	1	256	6	0.022900763
RLuc	68	2	304	12	0.037974684
RLuc	68	3	370	11	0.028871391
DONSON	42	1	103	19	0.155737705
DONSON	42	2	95	16	0.144144144
DONSON	42	3	99	20	0.168067227
DONSON	48	1	99	40	0.287769784
DONSON	48	2	141	41	0.225274725
DONSON	48	3	146	37	0.202185792
DONSON	54	1	116	45	0.279503106
DONSON	54	2	104	52	0.333333333
DONSON	54	3	99	35	0.26119403
DONSON	60	1	84	54	0.391304348
DONSON	60	2	104	58	0.358024691
DONSON	60	3	93	51	0.354166667
DONSON	64	1	113	55	0.327380952
DONSON	64	2	105	59	0.359756098
DONSON	64	3	90	70	0.4375
DONSON	68	1	87	66	0.431372549
DONSON	68	2	109	94	0.463054187
DONSON	68	3	117	69	0.370967742
