Treatment	Ratio.pH2AX.positive.versus.total.cells.Experiment1	Ratio.pH2AX.positive.versus.total.cells.Experiment2	Ratio.pH2AX.positive.versus.total.cells.Experiment3	mean	sd	nmean	nsd
Rluc	0.050815228	0.025132517	0.019317196	0.0317549803333333	0.0167607956380139	1	0.527816281480107
CHK1#2	0.749692686	0.591175649	0.736120954	0.692329763	0.0878644641576656	21.8022419076500	2.76695067152770
CHK1#4	0.354770616	0.513241516	0.603339635	0.490450589	0.125842000408429	15.4448399542913	3.96290594695574
CHK1#pool	0.747343566	0.456612462	0.408258408	0.537404812	0.183412755711982	16.9234811786636	5.7758736987613
DONSON#3	0.429218004	0.376582278	0.46615492	0.423985067333333	0.0450150226961294	13.3517660185188	1.41757362856487
DONSON#4	0.475894889	0.276019778	0.27763551	0.343183392333333	0.114934366740779	10.8072305109600	3.61941231058273
DONSON#pool	0.423692636	0.31225682	0.265934497	0.333961317666667	0.081087739636813	10.5168170208598	2.55354400429891
SON#3	0.362002791	0.304992062	0.38699262	0.351329157666667	0.0420293672862045	11.0637498111714	1.32355198601985
SON#4	0.601188614	0.714524207	0.52217421	0.612629010333333	0.0966839818050168	19.2923756809969	3.04468718891088
SON#pool	0.465500255	0.533382973	0.555918125	0.518267117666667	0.0470660664988899	16.3208136873774	1.48216330178245
CADM1#1	0.292936623	0.144192423	0.145119642	0.194082896	0.0856110941415386	6.11188840184135	2.69598951858498
CADM1#2	0.154220507	0.09531717	0.136033755	0.128523810666667	0.0301612371323064	4.04735916437508	0.94981123640143
CADM1#pool	0.15992259	0.099967224	0.220483989	0.160124601	0.0602586364585973	5.04250354807862	1.89761214858457
CD3EAP#2	0.136245609	0.079253849	0.085918267	0.100472575	0.0311590450430296	3.16399424422044	0.981233328314232
CD3EAP#3	0.316616444	0.231474289	0.250314918	0.266135217	0.0447214493822378	8.3808969240846	1.40832867514938
CD3EAP#pool	0.183278689	0.092079514	0.143566591	0.139641598	0.0457261036794924	4.397470775739	1.43996636746437
