 	Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance
1	1	57.485	46	1	0	52	56	0	55.326
2	1	45.113	7	21	0	39	47	0	41.231
3	1	41.385	29	9	0	39	47	0	39.294
4	1	40.385	5	48	0	39	47	0	34.015
5	1	25.728	76	45	0	98	42	0	22.204
6	1	24.142	66	80	0	74	59	0	22.472
7	1	23.142	78	84	0	98	78	0	20.881
8	1	20.728	16	69	0	34	59	0	20.591
9	1	19.556	76	27	0	90	14	0	19.105
10	1	18.657	76	27	0	76	45	0	18
11	1	18.314	60	1	0	69	15	0	16.643
12	1	17.071	34	101	0	39	86	0	15.811
13	1	16.728	63	44	0	69	15	0	29.614
14	1	16.243	50	105	0	34	101	0	16.492
15	1	15.899	50	62	0	56	75	0	14.318
16	1	15.071	18	105	0	19	92	0	13.038
17	1	15.071	75	1	0	71	18	0	17.464
18	1	14.828	74	59	0	76	45	0	14.142
19	1	14.485	44	71	0	56	75	0	12.649
20	1	13.657	64	105	0	65	92	0	13.038
21	1	13.071	43	7	0	29	9	0	14.142
22	1	12.657	65	92	0	66	80	0	12.042
23	1	12.657	78	84	0	83	96	0	13
24	1	12.414	20	74	0	21	87	0	13.038
25	1	12.243	66	80	0	78	84	0	12.649
26	1	12.071	107	43	0	98	42	0	9.055
27	1	12.071	90	14	0	98	6	0	11.314
28	1	11.899	42	69	0	34	59	0	12.806
29	1	11.243	9	87	0	19	90	0	10.440
30	1	11.071	71	18	0	76	27	0	10.296
31	1	10.899	44	88	0	52	95	0	10.630
32	1	10.657	30	89	0	21	87	0	9.220
33	1	10.657	52	95	0	57	87	0	9.434
34	1	10.485	43	53	0	50	62	0	11.402
35	1	10.414	58	104	0	58	93	0	11
36	1	10.243	16	13	0	25	10	0	9.487
37	1	10.071	93	89	0	101	86	0	8.544
38	1	10.071	107	94	0	101	86	0	10
39	1	10.071	34	59	0	43	53	0	10.817
40	1	9.243	57	87	0	60	79	0	8.544
41	1	9.071	29	71	0	20	74	0	9.487
42	1	9	52	104	0	52	95	0	9
43	1	8.828	24	65	0	20	74	0	9.849
44	1	8.828	83	104	0	83	96	0	8
45	1	8.828	93	30	0	95	21	0	9.220
46	1	8.657	22	2	0	29	4	0	7.280
47	1	8.243	74	59	0	82	57	0	8.246
48	1	7.828	8	71	0	16	69	0	8.246
49	1	7.657	90	14	0	95	21	0	8.602
50	1	7.243	57	87	0	58	93	0	6.083
51	1	6.828	2	69	0	8	71	0	6.325
52	1	6.657	39	86	0	44	88	0	5.385
53	1	6.414	7	78	0	8	71	0	7.071
54	1	6.414	60	79	0	66	80	0	6.083
55	1	6.243	100	25	0	98	19	0	6.325
56	1	6.243	106	77	0	101	80	0	5.831
57	1	6.243	16	69	0	20	74	0	6.403
58	1	5.828	96	49	0	99	45	0	5
59	1	5.828	25	10	0	26	16	0	6.083
60	1	5.657	56	75	0	60	79	0	5.657
61	1	5.414	4	54	0	5	48	0	6.083
62	1	5.414	99	1	0	98	6	0	5.099
63	1	5.414	50	62	0	52	56	0	6.325
64	1	5.414	101	80	0	101	86	0	6
65	1	5.243	30	105	0	34	101	0	5.657
66	1	5.243	102	15	0	98	19	0	5.657
67	1	5.243	39	47	0	43	53	0	7.211
68	1	4.828	22	18	0	26	16	0	4.472
69	1	4.828	37	82	0	39	86	0	4.472
70	1	4.828	86	91	0	83	96	0	5.831
71	1	4.414	67	19	0	71	18	0	4.123
72	1	4.414	87	55	0	83	96	0	41.195
73	1	4.414	29	4	0	29	9	0	5
74	1	4.243	25	10	0	29	9	0	4.123
75	1	3.828	69	15	0	71	18	0	3.606
76	1	3.828	5	83	0	7	80	0	3.606
77	1	3.828	100	75	0	98	78	0	3.606
78	1	3.828	104	20	0	98	19	0	6.083
79	1	3.828	19	90	0	21	87	0	3.606
80	1	3.828	98	78	0	101	80	0	3.606
81	1	3.414	4	77	0	7	78	0	3.162
82	1	3.414	57	96	0	58	93	0	3.162
83	1	3	44	85	0	44	88	0	3
84	1	2.828	3	46	0	5	48	0	2.828
85	1	2.828	95	21	0	98	19	0	3.606
86	1	2.414	10	82	0	19	90	0	12.042
87	1	2.414	83	59	0	82	57	0	2.236
88	1	2.414	102	47	0	98	19	0	28.284
89	1	2	7	78	0	7	80	0	2
90	1	2	19	90	0	19	92	0	2
91	1	2	98	42	0	99	45	0	3.162
92	1	1.414	64	93	0	65	92	0	1.414
93	1	1	29	2	0	20	74	0	72.560
94	1	1	100	7	0	98	6	0	2.236
